 i-sweep         i(Vin)          i(Vout)         i(Vbias)        i(v1)           i(v2)           v(vbp)          v(vcn)         
 1.12000000e-07  1.12000000e-07  1.13013293e-07  1.00819192e-06  9.95038043e-07  1.10805039e-06  6.96033804e-01  7.27560310e-01 
 1.13000000e-07  1.13000000e-07  1.13957025e-07  1.00819193e-06  9.95047261e-07  1.10900333e-06  6.96033804e-01  7.27560311e-01 
 1.14000000e-07  1.14000000e-07  1.14900729e-07  1.00819192e-06  9.95056389e-07  1.10995616e-06  6.96033805e-01  7.27560310e-01 
 1.15000000e-07  1.15000000e-07  1.15844397e-07  1.00819192e-06  9.95065447e-07  1.11090889e-06  6.96033805e-01  7.27560312e-01 
 1.16000000e-07  1.16000000e-07  1.16788035e-07  1.00819191e-06  9.95074414e-07  1.11186150e-06  6.96033806e-01  7.27560311e-01 
 1.17000000e-07  1.17000000e-07  1.17731645e-07  1.00819192e-06  9.95083338e-07  1.11281403e-06  6.96033804e-01  7.27560310e-01 
 1.18000000e-07  1.18000000e-07  1.18675224e-07  1.00819192e-06  9.95092162e-07  1.11376643e-06  6.96033805e-01  7.27560310e-01 
 1.19000000e-07  1.19000000e-07  1.19618763e-07  1.00819191e-06  9.95100915e-07  1.11471873e-06  6.96033805e-01  7.27560312e-01 
 1.20000000e-07  1.20000000e-07  1.20562268e-07  1.00819193e-06  9.95109620e-07  1.11567093e-06  6.96033804e-01  7.27560311e-01 
 1.21000000e-07  1.21000000e-07  1.21505732e-07  1.00819191e-06  9.95118215e-07  1.11662300e-06  6.96033806e-01  7.27560311e-01 
 1.22000000e-07  1.22000000e-07  1.22449149e-07  1.00819193e-06  9.95126792e-07  1.11757499e-06  6.96033804e-01  7.27560313e-01 
 1.23000000e-07  1.23000000e-07  1.23392532e-07  1.00819190e-06  9.95135238e-07  1.11852682e-06  6.96033806e-01  7.27560310e-01 
 1.24000000e-07  1.24000000e-07  1.24335868e-07  1.00819192e-06  9.95143672e-07  1.11947859e-06  6.96033805e-01  7.27560311e-01 
 1.25000000e-07  1.25000000e-07  1.25279167e-07  1.00819191e-06  9.95152012e-07  1.12043023e-06  6.96033805e-01  7.27560312e-01 
 1.26000000e-07  1.26000000e-07  1.26222409e-07  1.00819193e-06  9.95160310e-07  1.12138178e-06  6.96033804e-01  7.27560313e-01 
 1.27000000e-07  1.27000000e-07  1.27165606e-07  1.00819191e-06  9.95168515e-07  1.12233318e-06  6.96033805e-01  7.27560310e-01 
 1.28000000e-07  1.28000000e-07  1.28108757e-07  1.00819191e-06  9.95176672e-07  1.12328449e-06  6.96033805e-01  7.27560312e-01 
 1.29000000e-07  1.29000000e-07  1.29051870e-07  1.00819191e-06  9.95184761e-07  1.12423568e-06  6.96033806e-01  7.27560309e-01 
 1.30000000e-07  1.30000000e-07  1.29994914e-07  1.00819192e-06  9.95192806e-07  1.12518678e-06  6.96033805e-01  7.27560313e-01 
 1.31000000e-07  1.31000000e-07  1.30937913e-07  1.00819192e-06  9.95200777e-07  1.12613775e-06  6.96033805e-01  7.27560311e-01 
 1.32000000e-07  1.32000000e-07  1.31880851e-07  1.00819191e-06  9.95208694e-07  1.12708861e-06  6.96033805e-01  7.27560309e-01 
 1.33000000e-07  1.33000000e-07  1.32823752e-07  1.00819191e-06  9.95216542e-07  1.12803935e-06  6.96033806e-01  7.27560310e-01 
 1.34000000e-07  1.34000000e-07  1.33766582e-07  1.00819192e-06  9.95224353e-07  1.12899000e-06  6.96033804e-01  7.27560311e-01 
 1.35000000e-07  1.35000000e-07  1.34709364e-07  1.00819192e-06  9.95232087e-07  1.12994051e-06  6.96033805e-01  7.27560311e-01 
 1.36000000e-07  1.36000000e-07  1.35652083e-07  1.00819191e-06  9.95239771e-07  1.13089091e-06  6.96033805e-01  7.27560310e-01 
 1.37000000e-07  1.37000000e-07  1.36594739e-07  1.00819191e-06  9.95247396e-07  1.13184120e-06  6.96033806e-01  7.27560312e-01 
 1.38000000e-07  1.38000000e-07  1.37537349e-07  1.00819192e-06  9.95254981e-07  1.13279139e-06  6.96033805e-01  7.27560309e-01 
 1.39000000e-07  1.39000000e-07  1.38479889e-07  1.00819193e-06  9.95262516e-07  1.13374146e-06  6.96033804e-01  7.27560311e-01 
 1.40000000e-07  1.40000000e-07  1.39422356e-07  1.00819190e-06  9.95269970e-07  1.13469139e-06  6.96033806e-01  7.27560307e-01 
 1.41000000e-07  1.41000000e-07  1.40364774e-07  1.00819192e-06  9.95277402e-07  1.13564124e-06  6.96033805e-01  7.27560313e-01 
 1.42000000e-07  1.42000000e-07  1.41307119e-07  1.00819192e-06  9.95284765e-07  1.13659095e-06  6.96033805e-01  7.27560310e-01 
 1.43000000e-07  1.43000000e-07  1.42249403e-07  1.00819191e-06  9.95292075e-07  1.13754055e-06  6.96033805e-01  7.27560311e-01 
 1.44000000e-07  1.44000000e-07  1.43191624e-07  1.00819192e-06  9.95299359e-07  1.13849004e-06  6.96033805e-01  7.27560310e-01 
 1.45000000e-07  1.45000000e-07  1.44133777e-07  1.00819192e-06  9.95306575e-07  1.13943941e-06  6.96033804e-01  7.27560311e-01 
 1.46000000e-07  1.46000000e-07  1.45075859e-07  1.00819192e-06  9.95313743e-07  1.14038867e-06  6.96033804e-01  7.27560312e-01 
 1.47000000e-07  1.47000000e-07  1.46017872e-07  1.00819191e-06  9.95320855e-07  1.14133779e-06  6.96033805e-01  7.27560310e-01 
 1.48000000e-07  1.48000000e-07  1.46959815e-07  1.00819193e-06  9.95327948e-07  1.14228683e-06  6.96033804e-01  7.27560311e-01 
 1.49000000e-07  1.49000000e-07  1.47901686e-07  1.00819192e-06  9.95334966e-07  1.14323571e-06  6.96033805e-01  7.27560312e-01 
 1.50000000e-07  1.50000000e-07  1.48843483e-07  1.00819191e-06  9.95341940e-07  1.14418449e-06  6.96033805e-01  7.27560310e-01 
 1.51000000e-07  1.51000000e-07  1.49785215e-07  1.00819191e-06  9.95348874e-07  1.14513316e-06  6.96033805e-01  7.27560310e-01 
 1.52000000e-07  1.52000000e-07  1.50726871e-07  1.00819191e-06  9.95355769e-07  1.14608170e-06  6.96033805e-01  7.27560311e-01 
 1.53000000e-07  1.53000000e-07  1.51668461e-07  1.00819191e-06  9.95362615e-07  1.14703013e-06  6.96033806e-01  7.27560309e-01 
 1.54000000e-07  1.54000000e-07  1.52609960e-07  1.00819191e-06  9.95369415e-07  1.14797844e-06  6.96033806e-01  7.27560312e-01 
 1.55000000e-07  1.55000000e-07  1.53551385e-07  1.00819193e-06  9.95376201e-07  1.14892665e-06  6.96033804e-01  7.27560311e-01 
 1.56000000e-07  1.56000000e-07  1.54492740e-07  1.00819192e-06  9.95382907e-07  1.14987472e-06  6.96033804e-01  7.27560312e-01 
 1.57000000e-07  1.57000000e-07  1.55434014e-07  1.00819193e-06  9.95389589e-07  1.15082267e-06  6.96033804e-01  7.27560311e-01 
 1.58000000e-07  1.58000000e-07  1.56375215e-07  1.00819192e-06  9.95396215e-07  1.15177050e-06  6.96033805e-01  7.27560312e-01 
 1.59000000e-07  1.59000000e-07  1.57316327e-07  1.00819192e-06  9.95402809e-07  1.15271821e-06  6.96033805e-01  7.27560310e-01 
 1.60000000e-07  1.60000000e-07  1.58257368e-07  1.00819191e-06  9.95409350e-07  1.15366579e-06  6.96033806e-01  7.27560311e-01 
 1.61000000e-07  1.61000000e-07  1.59198326e-07  1.00819191e-06  9.95415871e-07  1.15461326e-06  6.96033805e-01  7.27560311e-01 
