 net1            i(VloutI)       i(VldumpI)      v(Vin)          v(Vgate)        v(d0)           i(vini)         i(vgatei)       v(vloutv)       v(vldumpv)      i(vout)         i(vdump)       
 1.00000000e+00  1.53995393e-06  1.05445773e-06  3.43570024e-01  1.14302531e+00  1.49776410e-07  2.59442598e-06  2.39650512e-10  2.27962996e-01  2.27867274e-01  1.51777139e-06  1.04168184e-06 
 0.00000000e+00  1.51934156e-06  1.07507011e-06  3.43567950e-01  1.14302624e+00  1.14302624e+00  2.59442600e-06  1.81393297e-10  2.27959477e-01  2.27871996e-01  1.49758638e-06  1.06192449e-06 
 1.00000000e+00  1.49958834e-06  1.09482346e-06  3.43567171e-01  1.14302531e+00  1.49776415e-07  2.59442613e-06  2.39626985e-10  2.27956065e-01  2.27876457e-01  1.47824057e-06  1.08132094e-06 
 0.00000000e+00  1.47944215e-06  1.11496971e-06  3.43565943e-01  1.14302531e+00  1.14302530e+00  2.59442618e-06  2.39637643e-10  2.27952552e-01  2.27880939e-01  1.45850754e-06  1.10110052e-06 
 1.00000000e+00  1.45992122e-06  1.13449061e-06  3.43565425e-01  1.14302437e+00  1.49772635e-07  2.59442616e-06  2.97906359e-10  2.27949110e-01  2.27885225e-01  1.43938483e-06  1.12026355e-06 
 0.00000000e+00  1.43936598e-06  1.15504586e-06  3.43563293e-01  1.14302624e+00  1.14302624e+00  2.59442618e-06  1.81358442e-10  2.27945438e-01  2.27889669e-01  1.41924651e-06  1.14043943e-06 
 1.00000000e+00  1.41943013e-06  1.17498184e-06  3.43563039e-01  1.14302531e+00  1.49776414e-07  2.59442631e-06  2.39639746e-10  2.27941838e-01  2.27893928e-01  1.39971280e-06  1.16000489e-06 
 0.00000000e+00  1.39926874e-06  1.19514326e-06  3.43562327e-01  1.14302531e+00  1.14302530e+00  2.59442634e-06  2.39656000e-10  2.27938154e-01  2.27898172e-01  1.37995574e-06  1.17978904e-06 
 1.00000000e+00  1.37945361e-06  1.21495830e-06  3.43562308e-01  1.14302437e+00  1.49772630e-07  2.59442624e-06  2.97905700e-10  2.27934489e-01  2.27902282e-01  1.36053575e-06  1.19923086e-06 
 0.00000000e+00  1.35923094e-06  1.23518106e-06  3.43561280e-01  1.14302531e+00  1.14302530e+00  2.59442632e-06  2.39659213e-10  2.27930705e-01  2.27906426e-01  1.34071395e-06  1.21907016e-06 
 1.00000000e+00  1.33925472e-06  1.25515725e-06  3.43561528e-01  1.14302437e+00  1.49772632e-07  2.59442629e-06  2.97905700e-10  2.27926923e-01  2.27910469e-01  1.32113136e-06  1.23866519e-06 
 0.00000000e+00  1.31916397e-06  1.27524795e-06  3.43561323e-01  1.14302437e+00  1.14302437e+00  2.59442626e-06  2.97923210e-10  2.27923067e-01  2.27914479e-01  1.30143418e-06  1.25836996e-06 
 1.00000000e+00  1.29908728e-06  1.29532466e-06  3.43561823e-01  1.14302344e+00  1.49768854e-07  2.59442626e-06  3.56159546e-10  2.27919169e-01  2.27918435e-01  1.28174833e-06  1.27805870e-06 
 0.00000000e+00  1.27524831e-06  1.31916378e-06  3.43559034e-01  1.14302812e+00  1.14302811e+00  2.59442641e-06  6.48191788e-11  2.27914478e-01  2.27923070e-01  1.25837036e-06  1.30143397e-06 
 1.00000000e+00  1.25516111e-06  1.33925094e-06  3.43559804e-01  1.14302718e+00  1.49783969e-07  2.59442638e-06  1.23109582e-10  2.27910468e-01  2.27926917e-01  1.23866893e-06  1.32112770e-06 
 0.00000000e+00  1.23518120e-06  1.35923085e-06  3.43560135e-01  1.14302718e+00  1.14302718e+00  2.59442637e-06  1.23097350e-10  2.27906428e-01  2.27930705e-01  1.21907028e-06  1.34071386e-06 
 1.00000000e+00  1.21497284e-06  1.37943919e-06  3.43561167e-01  1.14302625e+00  1.49780194e-07  2.59442638e-06  1.81376691e-10  2.27902287e-01  2.27934486e-01  1.19924512e-06  1.36052159e-06 
 0.00000000e+00  1.19514340e-06  1.39926858e-06  3.43561174e-01  1.14302718e+00  1.14302718e+00  2.59442631e-06  1.23112461e-10  2.27898170e-01  2.27938153e-01  1.17978919e-06  1.37995563e-06 
 1.00000000e+00  1.17498581e-06  1.41942617e-06  3.43562462e-01  1.14302625e+00  1.49780193e-07  2.59442630e-06  1.81369586e-10  2.27893924e-01  2.27941839e-01  1.16000882e-06  1.39970891e-06 
 0.00000000e+00  1.15504600e-06  1.43936596e-06  3.43563301e-01  1.14302625e+00  1.14302624e+00  2.59442628e-06  1.81387350e-10  2.27889671e-01  2.27945438e-01  1.14043957e-06  1.41924652e-06 
 1.00000000e+00  1.13454416e-06  1.45986772e-06  3.43564845e-01  1.14302531e+00  1.49776415e-07  2.59442622e-06  2.39626985e-10  2.27885235e-01  2.27949097e-01  1.12031615e-06  1.43933245e-06 
 0.00000000e+00  1.11496998e-06  1.47944191e-06  3.43564803e-01  1.14302718e+00  1.14302718e+00  2.59442620e-06  1.23115571e-10  2.27880941e-01  2.27952558e-01  1.10110080e-06  1.45850731e-06 
 1.00000000e+00  1.09482741e-06  1.49958441e-06  3.43566601e-01  1.14302625e+00  1.49780192e-07  2.59442615e-06  1.81392495e-10  2.27876456e-01  2.27956069e-01  1.08132485e-06  1.47823668e-06 
 0.00000000e+00  1.07507027e-06  1.51934145e-06  3.43567951e-01  1.14302625e+00  1.14302624e+00  2.59442606e-06  1.81393895e-10  2.27871995e-01  2.27959477e-01  1.06192467e-06  1.49758627e-06 
 1.00000000e+00  1.05447231e-06  1.53993939e-06  3.43570024e-01  1.14302531e+00  1.49776415e-07  2.59442602e-06  2.39623432e-10  2.27867275e-01  2.27962994e-01  1.04169620e-06  1.51775715e-06 
 0.00000000e+00  1.03497950e-06  1.55943217e-06  3.43571066e-01  1.14302625e+00  1.14302624e+00  2.59442600e-06  1.81382010e-10  2.27862743e-01  2.27966284e-01  1.02255044e-06  1.53684359e-06 
 1.00000000e+00  1.01454329e-06  1.57986828e-06  3.43573393e-01  1.14302531e+00  1.49776414e-07  2.59442589e-06  2.39637643e-10  2.27857915e-01  2.27969696e-01  1.00247538e-06  1.55685149e-06 
 0.00000000e+00  9.94605876e-07  1.59980553e-06  3.43575273e-01  1.14302531e+00  1.14302530e+00  2.59442572e-06  2.39637189e-10  2.27853132e-01  2.27972993e-01  9.82887478e-07  1.57636864e-06 
 1.00000000e+00  9.73481755e-07  1.62092961e-06  3.43577891e-01  1.14302437e+00  1.49772636e-07  2.59442570e-06  2.97900558e-10  2.27847989e-01  2.27976447e-01  9.62130690e-07  1.59704543e-06 
 0.00000000e+00  9.54337781e-07  1.64007351e-06  3.43578342e-01  1.14302718e+00  1.14302717e+00  2.59442561e-06  1.23112187e-10  2.27843250e-01  2.27979546e-01  9.43316950e-07  1.61578178e-06 
 1.00000000e+00  9.34183239e-07  1.66022796e-06  3.43581208e-01  1.14302624e+00  1.49780188e-07  2.59442552e-06  1.81361121e-10  2.27838179e-01  2.27982772e-01  9.23507299e-07  1.63550503e-06 
 0.00000000e+00  9.14729449e-07  1.67968167e-06  3.43583625e-01  1.14302625e+00  1.14302624e+00  2.59442545e-06  1.81393984e-10  2.27833206e-01  2.27985854e-01  9.04383619e-07  1.65454051e-06 
 1.00000000e+00  8.93831716e-07  1.70057925e-06  3.43586786e-01  1.14302531e+00  1.49776408e-07  2.59442530e-06  2.39651854e-10  2.27827774e-01  2.27989137e-01  8.83837476e-07  1.67498650e-06 
