 net1            i(VloutI)       i(VldumpI)      v(Vin)          v(Vgate)        v(D0)           i(vini)         i(vgatei)       v(vloutv)       v(vldumpv)      i(vout)         i(vdump)       
 0.00000000e+00  1.45992122e-06  1.13449071e-06  3.43563703e-01  1.14302718e+00  1.14302718e+00  2.59442626e-06  1.23097976e-10  2.27949107e-01  2.27885224e-01  1.43938482e-06  1.12026370e-06 
 1.00000000e+00  1.47944209e-06  1.11496970e-06  3.43565370e-01  1.14302624e+00  1.49780186e-07  2.59442613e-06  1.81394894e-10  2.27952554e-01  2.27880941e-01  1.45850749e-06  1.10110048e-06 
 0.00000000e+00  1.49958824e-06  1.09482353e-06  3.43566599e-01  1.14302625e+00  1.14302624e+00  2.59442611e-06  1.81377505e-10  2.27956068e-01  2.27876457e-01  1.47824044e-06  1.08132098e-06 
 1.00000000e+00  1.51934164e-06  1.07507009e-06  3.43568530e-01  1.14302531e+00  1.49776415e-07  2.59442608e-06  2.39626985e-10  2.27959478e-01  2.27871998e-01  1.49758649e-06  1.06192448e-06 
 0.00000000e+00  1.53995391e-06  1.05445775e-06  3.43569445e-01  1.14302625e+00  1.14302624e+00  2.59442597e-06  1.81379755e-10  2.27962994e-01  2.27867272e-01  1.51777138e-06  1.04168190e-06 
 1.00000000e+00  1.55943224e-06  1.03497934e-06  3.43571633e-01  1.14302531e+00  1.49776410e-07  2.59442591e-06  2.39634090e-10  2.27966282e-01  2.27862741e-01  1.53684369e-06  1.02255027e-06 
 0.00000000e+00  1.57987205e-06  1.01453948e-06  3.43573390e-01  1.14302531e+00  1.14302530e+00  2.59442585e-06  2.39638413e-10  2.27969697e-01  2.27857912e-01  1.55685515e-06  1.00247163e-06 
 1.00000000e+00  1.59980571e-06  9.94605693e-07  3.43575851e-01  1.14302437e+00  1.49772631e-07  2.59442574e-06  2.97909253e-10  2.27972993e-01  2.27853135e-01  1.57636887e-06  9.82887268e-07 
 0.00000000e+00  1.62113904e-06  9.73272418e-07  3.43576206e-01  1.14302718e+00  1.14302718e+00  2.59442578e-06  1.23090871e-10  2.27976482e-01  2.27847935e-01  1.59725039e-06  9.61925004e-07 
 1.00000000e+00  1.64007363e-06  9.54337646e-07  3.43578911e-01  1.14302624e+00  1.49780188e-07  2.59442560e-06  1.81363400e-10  2.27979543e-01  2.27843246e-01  1.61578189e-06  9.43316838e-07 
 0.00000000e+00  1.66023170e-06  9.34179562e-07  3.43581209e-01  1.14302625e+00  1.14302624e+00  2.59442558e-06  1.81372236e-10  2.27982772e-01  2.27838176e-01  1.63550870e-06  9.23503675e-07 
 1.00000000e+00  1.67968169e-06  9.14729402e-07  3.43584195e-01  1.14302531e+00  1.49776411e-07  2.59442542e-06  2.39634090e-10  2.27985854e-01  2.27833202e-01  1.65454050e-06  9.04383638e-07 
 0.00000000e+00  1.70059375e-06  8.93817243e-07  3.43586212e-01  1.14302624e+00  1.14302624e+00  2.59442533e-06  1.81378156e-10  2.27989136e-01  2.27827771e-01  1.67500070e-06  8.83823216e-07 
 1.00000000e+00  1.71959278e-06  8.74818145e-07  3.43589475e-01  1.14302531e+00  1.49776411e-07  2.59442526e-06  2.39648301e-10  2.27992093e-01  2.27822745e-01  1.69358715e-06  8.65141072e-07 
 0.00000000e+00  1.74016019e-06  8.54250578e-07  3.43592325e-01  1.14302531e+00  1.14302530e+00  2.59442510e-06  2.39661953e-10  2.27995254e-01  2.27817210e-01  1.71370582e-06  8.44913513e-07 
 1.00000000e+00  1.75990199e-06  8.34508726e-07  3.43595889e-01  1.14302437e+00  1.49772635e-07  2.59442505e-06  2.97912400e-10  2.27998263e-01  2.27811812e-01  1.73301472e-06  8.25495020e-07 
 0.00000000e+00  1.78150507e-06  8.12905555e-07  3.43597919e-01  1.14302625e+00  1.14302624e+00  2.59442495e-06  1.81387960e-10  2.28001517e-01  2.27805784e-01  1.75414180e-06  8.04242315e-07 
 1.00000000e+00  1.80007351e-06  7.94336923e-07  3.43601736e-01  1.14302531e+00  1.49776410e-07  2.59442476e-06  2.39646106e-10  2.28004297e-01  2.27800513e-01  1.77229902e-06  7.85971960e-07 
 0.00000000e+00  1.82051477e-06  7.73895520e-07  3.43605171e-01  1.14302531e+00  1.14302530e+00  2.59442463e-06  2.39641196e-10  2.28007320e-01  2.27794606e-01  1.79228563e-06  7.65855837e-07 
