 net1            i(VloutI)       i(VldumpI)      v(Vin)          v(Vgate)        v(d0)           i(vini)         i(vgatei)       v(vloutv)       v(vldumpv)      i(vout)         i(vdump)       
 0.00000000e+00  9.66314283e-07  1.78408181e-06  3.72208495e-01  1.14493515e+00  1.14493514e+00  2.75041112e-06  2.32813404e-10  2.38988363e-01  2.37989749e-01  9.75319459e-07  1.72732198e-06 
 1.00000000e+00  9.86746745e-07  1.76364873e-06  3.72225292e-01  1.14493379e+00  2.04979315e-07  2.75041052e-06  3.17836424e-10  2.38993404e-01  2.37986651e-01  9.95721757e-07  1.70762039e-06 
 0.00000000e+00  1.01602056e-06  1.73437485e-06  3.72225607e-01  1.14493709e+00  1.14493708e+00  2.75041042e-06  1.11842979e-10  2.39000486e-01  2.37982158e-01  1.02494731e-06  1.67939100e-06 
 1.00000000e+00  1.02892771e-06  1.72146704e-06  3.72242797e-01  1.14493573e+00  2.04989463e-07  2.75040978e-06  1.96883714e-10  2.39003552e-01  2.37980155e-01  1.03783135e-06  1.66694241e-06 
 0.00000000e+00  1.05120140e-06  1.69919271e-06  3.72258462e-01  1.14493626e+00  1.14493625e+00  2.75040913e-06  1.63767278e-10  2.39008786e-01  2.37976676e-01  1.06006238e-06  1.64545860e-06 
 1.00000000e+00  1.06865965e-06  1.68173381e-06  3.72275897e-01  1.14493489e+00  2.04985112e-07  2.75040848e-06  2.48773110e-10  2.39012825e-01  2.37973914e-01  1.07748488e-06  1.62861769e-06 
 0.00000000e+00  1.09565368e-06  1.65473917e-06  3.72290744e-01  1.14493626e+00  1.14493626e+00  2.75040787e-06  1.63403513e-10  2.39018971e-01  2.37969603e-01  1.10441967e-06  1.60257554e-06 
 1.00000000e+00  1.11066535e-06  1.63972670e-06  3.72308500e-01  1.14493490e+00  2.04985138e-07  2.75040710e-06  2.48419769e-10  2.39022339e-01  2.37967180e-01  1.11939623e-06  1.58809120e-06 
 0.00000000e+00  1.13536133e-06  1.61503008e-06  3.72324772e-01  1.14493543e+00  1.14493542e+00  2.75040644e-06  2.15278014e-10  2.39027798e-01  2.37963152e-01  1.14403134e-06  1.56426094e-06 
 1.00000000e+00  1.15512188e-06  1.59526881e-06  3.72342810e-01  1.14493407e+00  2.04980782e-07  2.75040574e-06  3.00303782e-10  2.39032104e-01  2.37959890e-01  1.16374033e-06  1.54519076e-06 
 0.00000000e+00  1.18486775e-06  1.56552220e-06  3.72361090e-01  1.14493602e+00  1.14493601e+00  2.75040499e-06  1.78779658e-10  2.39038469e-01  2.37954918e-01  1.19340386e-06  1.51648069e-06 
 1.00000000e+00  1.19849005e-06  1.55189915e-06  3.72379467e-01  1.14493465e+00  2.04983842e-07  2.75040422e-06  2.63823505e-10  2.39041341e-01  2.37952614e-01  1.20698655e-06  1.50333086e-06 
 0.00000000e+00  1.22209097e-06  1.52829761e-06  3.72396405e-01  1.14493518e+00  1.14493518e+00  2.75040363e-06  2.30681252e-10  2.39046258e-01  2.37948583e-01  1.23051610e-06  1.48054690e-06 
 1.00000000e+00  1.24059010e-06  1.50979765e-06  3.72415062e-01  1.14493382e+00  2.04979488e-07  2.75040281e-06  3.15711901e-10  2.39050056e-01  2.37945386e-01  1.24895685e-06  1.46268580e-06 
 0.00000000e+00  1.26924069e-06  1.48114652e-06  3.72431210e-01  1.14493519e+00  1.14493518e+00  2.75040223e-06  2.30322428e-10  2.39055854e-01  2.37940370e-01  1.27751281e-06  1.43502059e-06 
 1.00000000e+00  1.28517224e-06  1.46521417e-06  3.72450170e-01  1.14493383e+00  2.04979522e-07  2.75040145e-06  3.15346364e-10  2.39059033e-01  2.37937546e-01  1.29338951e-06  1.41963466e-06 
 0.00000000e+00  1.31142912e-06  1.43895658e-06  3.72467728e-01  1.14493436e+00  1.14493435e+00  2.75040074e-06  2.82199153e-10  2.39064201e-01  2.37932835e-01  1.31955264e-06  1.39427468e-06 
 1.00000000e+00  1.33245277e-06  1.41793211e-06  3.72487003e-01  1.14493299e+00  2.04975166e-07  2.75039995e-06  3.67226249e-10  2.39068278e-01  2.37929011e-01  1.34049820e-06  1.37396626e-06 
 0.00000000e+00  1.36979912e-06  1.38058308e-06  3.72554581e-01  1.14493673e+00  1.14493672e+00  2.75039722e-06  1.34175020e-10  2.39075395e-01  2.37922102e-01  1.37769928e-06  1.33788355e-06 
 1.00000000e+00  1.38085387e-06  1.36952757e-06  3.72574172e-01  1.14493537e+00  2.04987591e-07  2.75039646e-06  2.19202434e-10  2.39077467e-01  2.37920028e-01  1.38870948e-06  1.32720139e-06 
 0.00000000e+00  1.40250334e-06  1.34787731e-06  3.72592384e-01  1.14493590e+00  1.14493589e+00  2.75039568e-06  1.86066273e-10  2.39081494e-01  2.37915921e-01  1.41026947e-06  1.30628048e-06 
 1.00000000e+00  1.41872043e-06  1.33165946e-06  3.72612277e-01  1.14493454e+00  2.04983237e-07  2.75039494e-06  2.71086265e-10  2.39084472e-01  2.37912815e-01  1.42641781e-06  1.29060723e-06 
 0.00000000e+00  1.44568410e-06  1.30469505e-06  3.72629755e-01  1.14493591e+00  1.14493590e+00  2.75039417e-06  1.85711228e-10  2.39089372e-01  2.37907578e-01  1.45326358e-06  1.26454511e-06 
 1.00000000e+00  1.45913573e-06  1.29124266e-06  3.72649912e-01  1.14493454e+00  2.04983266e-07  2.75039342e-06  2.70745204e-10  2.39091785e-01  2.37904933e-01  1.46665484e-06  1.25154134e-06 
 0.00000000e+00  1.48346198e-06  1.26691564e-06  3.72668767e-01  1.14493507e+00  1.14493507e+00  2.75039265e-06  2.37579425e-10  2.39096109e-01  2.37900090e-01  1.49086916e-06  1.22802306e-06 
 1.00000000e+00  1.50224578e-06  1.24813095e-06  3.72689267e-01  1.14493371e+00  2.04978905e-07  2.75039176e-06  3.22627905e-10  2.39099400e-01  2.37896298e-01  1.50956429e-06  1.20986052e-06 
