 i-sweep         i(Vin)          i(Vout)         i(Vbias)        i(v1)           i(v2)           v(Vbp)          v(Vcn)         
 1.29000000e-07  1.29000000e-07  1.12907809e-06  1.00819192e-06  0.00000000e+00  1.12877974e-06  6.96033805e-01  7.27560310e-01 
 1.30000000e-07  1.30000000e-07  1.13004141e-06  1.00819191e-06  0.00000000e+00  1.12974279e-06  6.96033805e-01  7.27560308e-01 
 1.31000000e-07  1.31000000e-07  1.13100467e-06  1.00819193e-06  0.00000000e+00  1.13070577e-06  6.96033804e-01  7.27560314e-01 
 1.32000000e-07  1.32000000e-07  1.13196779e-06  1.00819192e-06  3.55271368e-15  1.13166861e-06  6.96033805e-01  7.27560310e-01 
 1.33000000e-07  1.33000000e-07  1.13293083e-06  1.00819192e-06  3.55271368e-15  1.13263137e-06  6.96033805e-01  7.27560313e-01 
 1.34000000e-07  1.34000000e-07  1.13389377e-06  1.00819192e-06  3.55271368e-15  1.13359403e-06  6.96033805e-01  7.27560311e-01 
 1.35000000e-07  1.35000000e-07  1.13485659e-06  1.00819191e-06  7.10542736e-15  1.13455657e-06  6.96033805e-01  7.27560310e-01 
 1.36000000e-07  1.36000000e-07  1.13581932e-06  1.00819191e-06  7.10542736e-15  1.13551902e-06  6.96033805e-01  7.27560312e-01 
 1.37000000e-07  1.37000000e-07  1.13678195e-06  1.00819191e-06  3.55271368e-15  1.13648137e-06  6.96033805e-01  7.27560309e-01 
 1.38000000e-07  1.38000000e-07  1.13774447e-06  1.00819191e-06  3.55271368e-15  1.13744361e-06  6.96033805e-01  7.27560312e-01 
 1.39000000e-07  1.39000000e-07  1.13870690e-06  1.00819192e-06  7.10542736e-15  1.13840577e-06  6.96033804e-01  7.27560310e-01 
 1.40000000e-07  1.40000000e-07  1.13966921e-06  1.00819191e-06  3.55271368e-15  1.13936779e-06  6.96033805e-01  7.27560311e-01 
 1.41000000e-07  1.41000000e-07  1.14063144e-06  1.00819193e-06  7.10542736e-15  1.14032974e-06  6.96033804e-01  7.27560309e-01 
 1.42000000e-07  1.42000000e-07  1.14159354e-06  1.00819191e-06  7.10542736e-15  1.14129156e-06  6.96033805e-01  7.27560313e-01 
 1.43000000e-07  1.43000000e-07  1.14255554e-06  1.00819191e-06  7.10542736e-15  1.14225328e-06  6.96033806e-01  7.27560309e-01 
 1.44000000e-07  1.44000000e-07  1.14351747e-06  1.00819193e-06  3.55271368e-15  1.14321493e-06  6.96033804e-01  7.27560311e-01 
 1.45000000e-07  1.45000000e-07  1.14447926e-06  1.00819191e-06  3.55271368e-15  1.14417643e-06  6.96033806e-01  7.27560312e-01 
 1.46000000e-07  1.46000000e-07  1.14544097e-06  1.00819192e-06  3.55271368e-15  1.14513786e-06  6.96033805e-01  7.27560309e-01 
 1.47000000e-07  1.47000000e-07  1.14640256e-06  1.00819192e-06  7.10542736e-15  1.14609918e-06  6.96033805e-01  7.27560311e-01 
 1.48000000e-07  1.48000000e-07  1.14736403e-06  1.00819191e-06  7.10542736e-15  1.14706037e-06  6.96033805e-01  7.27560309e-01 
 1.49000000e-07  1.49000000e-07  1.14832543e-06  1.00819192e-06  7.10542736e-15  1.14802149e-06  6.96033805e-01  7.27560313e-01 
 1.50000000e-07  1.50000000e-07  1.14928671e-06  1.00819192e-06  7.10542736e-15  1.14898249e-06  6.96033805e-01  7.27560309e-01 
 1.51000000e-07  1.51000000e-07  1.15024790e-06  1.00819193e-06  7.10542736e-15  1.14994339e-06  6.96033804e-01  7.27560313e-01 
 1.52000000e-07  1.52000000e-07  1.15120895e-06  1.00819191e-06  3.55271368e-15  1.15090416e-06  6.96033806e-01  7.27560312e-01 
 1.53000000e-07  1.53000000e-07  1.15216992e-06  1.00819192e-06  3.55271368e-15  1.15186486e-06  6.96033805e-01  7.27560309e-01 
 1.54000000e-07  1.54000000e-07  1.15313080e-06  1.00819192e-06  3.55271368e-15  1.15282545e-06  6.96033804e-01  7.27560313e-01 
 1.55000000e-07  1.55000000e-07  1.15409155e-06  1.00819192e-06  0.00000000e+00  1.15378592e-06  6.96033805e-01  7.27560310e-01 
 1.56000000e-07  1.56000000e-07  1.15505221e-06  1.00819192e-06  0.00000000e+00  1.15474629e-06  6.96033805e-01  7.27560311e-01 
 1.57000000e-07  1.57000000e-07  1.15601275e-06  1.00819193e-06  7.10542736e-15  1.15570657e-06  6.96033804e-01  7.27560312e-01 
 1.58000000e-07  1.58000000e-07  1.15697319e-06  1.00819192e-06  3.55271368e-15  1.15666672e-06  6.96033804e-01  7.27560313e-01 
 1.59000000e-07  1.59000000e-07  1.15793349e-06  1.00819190e-06  1.06581410e-14  1.15762675e-06  6.96033806e-01  7.27560310e-01 
 1.60000000e-07  1.60000000e-07  1.15889375e-06  1.00819192e-06  3.55271368e-15  1.15858672e-06  6.96033805e-01  7.27560312e-01 
