 v-sweep         i(VloutI)       i(VldumpI)      v(Vin)          v(Vgate)        v(d0)           i(vini)         i(vgatei)       v(vloutv)       v(vldumpv)      i(vout)         i(vdump)       
 4.20000000e-02  2.56715254e-06  2.65707443e-08  3.61713365e-01  1.14302924e+00  2.09654219e-09  2.59373824e-06 -4.92415527e-12  2.37871673e-01  2.37173433e-01  1.79624266e-06 -4.02568993e-08 
 4.30000000e-02  2.56715239e-06  2.65707133e-08  3.61713348e-01  1.14302924e+00  2.09654219e-09  2.59373804e-06 -4.92983013e-12  2.37871670e-01  2.37173434e-01  1.82178475e-06 -3.78985204e-08 
 4.40000000e-02  2.56715247e-06  2.65707501e-08  3.61713362e-01  1.14302924e+00  2.09654219e-09  2.59373815e-06 -4.93434584e-12  2.37871674e-01  2.37173435e-01  1.84642011e-06 -3.56544754e-08 
 4.50000000e-02  2.56715233e-06  2.65707331e-08  3.61713350e-01  1.14302924e+00  2.09654219e-09  2.59373801e-06 -4.92820200e-12  2.37871672e-01  2.37173433e-01  1.87017070e-06 -3.35195104e-08 
 4.60000000e-02  2.56715241e-06  2.65707491e-08  3.61713351e-01  1.14302924e+00  2.09654219e-09  2.59373810e-06 -4.92914111e-12  2.37871670e-01  2.37173431e-01  1.89305920e-06 -3.14882298e-08 
 4.70000000e-02  2.56715242e-06  2.65707207e-08  3.61713351e-01  1.14302924e+00  2.09654219e-09  2.59373808e-06 -4.94092167e-12  2.37871670e-01  2.37173434e-01  1.91510806e-06 -2.95556667e-08 
 4.80000000e-02  2.56715238e-06  2.65707696e-08  3.61713351e-01  1.14302924e+00  2.09654219e-09  2.59373807e-06 -4.93153329e-12  2.37871670e-01  2.37173432e-01  1.93634009e-06 -2.77166945e-08 
 4.90000000e-02  2.56715240e-06  2.65707390e-08  3.61713355e-01  1.14302924e+00  2.09654219e-09  2.59373808e-06 -4.93280597e-12  2.37871672e-01  2.37173434e-01  1.95677829e-06 -2.59668606e-08 
 5.00000000e-02  2.56715241e-06  2.65707513e-08  3.61713351e-01  1.14302924e+00  2.09654219e-09  2.59373808e-06 -4.93326836e-12  2.37871670e-01  2.37173433e-01  1.97644553e-06 -2.43014114e-08 
 5.10000000e-02  2.56715251e-06  2.65707228e-08  3.61713357e-01  1.14302924e+00  2.09654219e-09  2.59373817e-06 -4.93633106e-12  2.37871671e-01  2.37173433e-01  1.99536499e-06 -2.27160933e-08 
 5.20000000e-02  2.56715246e-06  2.65707174e-08  3.61713355e-01  1.14302924e+00  2.09654219e-09  2.59373814e-06 -4.93537143e-12  2.37871670e-01  2.37173433e-01  2.01355938e-06 -2.12066986e-08 
 5.30000000e-02  2.56715246e-06  2.65707360e-08  3.61713358e-01  1.14302924e+00  2.09654219e-09  2.59373815e-06 -4.93142815e-12  2.37871672e-01  2.37173433e-01  2.03105176e-06 -1.97691246e-08 
 5.40000000e-02  2.56715239e-06  2.65707400e-08  3.61713350e-01  1.14302924e+00  2.09654219e-09  2.59373807e-06 -4.92346590e-12  2.37871670e-01  2.37173432e-01  2.04786476e-06 -1.83996482e-08 
 5.50000000e-02  2.56715244e-06  2.65707277e-08  3.61713352e-01  1.14302924e+00  2.09654219e-09  2.59373811e-06 -4.93111543e-12  2.37871670e-01  2.37173433e-01  2.06402118e-06 -1.70946897e-08 
 5.60000000e-02  2.56715235e-06  2.65707439e-08  3.61713345e-01  1.14302924e+00  2.09654219e-09  2.59373802e-06 -4.93333417e-12  2.37871669e-01  2.37173431e-01  2.07954316e-06 -1.58506811e-08 
 5.70000000e-02  2.56715236e-06  2.65707477e-08  3.61713351e-01  1.14302924e+00  2.09654219e-09  2.59373806e-06 -4.92548361e-12  2.37871671e-01  2.37173431e-01  2.09445297e-06 -1.46643609e-08 
