 net1            i(VloutI)       i(VldumpI)      v(Vin)          v(Vgate)        v(d0)           i(vini)         i(vgatei)       v(vloutv)       v(vldumpv)      i(vout)         i(vdump)       
 0.00000000e+00  1.17439302e-06  1.41934305e-06  3.61375753e-01  1.14302531e+00  1.14302530e+00  2.59375097e-06  2.39635530e-10  2.37660769e-01  2.37709582e-01  1.15622943e-06  1.39595146e-06 
 1.00000000e+00  1.19453769e-06  1.39919829e-06  3.61375649e-01  1.14302437e+00  1.49772631e-07  2.59375094e-06  2.97916868e-10  2.37665078e-01  2.37705837e-01  1.17595756e-06  1.37624972e-06 
 0.00000000e+00  1.21436252e-06  1.37937359e-06  3.61374318e-01  1.14302531e+00  1.14302530e+00  2.59375103e-06  2.39648947e-10  2.37669264e-01  2.37702113e-01  1.19537009e-06  1.35685876e-06 
 1.00000000e+00  1.23455698e-06  1.35917910e-06  3.61374507e-01  1.14302437e+00  1.49772634e-07  2.59375100e-06  2.97897450e-10  2.37673475e-01  2.37698274e-01  1.21514200e-06  1.33710381e-06 
 0.00000000e+00  1.25452740e-06  1.33920864e-06  3.61374139e-01  1.14302437e+00  1.14302437e+00  2.59375097e-06  2.97918582e-10  2.37677583e-01  2.37694426e-01  1.23469222e-06  1.31756572e-06 
 1.00000000e+00  1.27460282e-06  1.31913330e-06  3.61374619e-01  1.14302344e+00  1.49768860e-07  2.59375105e-06  3.56147685e-10  2.37681659e-01  2.37690518e-01  1.25434287e-06  1.29792267e-06 
 0.00000000e+00  1.29906932e-06  1.29466682e-06  3.61371082e-01  1.14302812e+00  1.14302811e+00  2.59375108e-06  6.48214195e-11  2.37686558e-01  2.37685680e-01  1.27828848e-06  1.27398000e-06 
 1.00000000e+00  1.31913338e-06  1.27460288e-06  3.61371863e-01  1.14302718e+00  1.49783975e-07  2.59375119e-06  1.23108634e-10  2.37690519e-01  2.37681660e-01  1.29792278e-06  1.25434298e-06 
 0.00000000e+00  1.33921282e-06  1.25452331e-06  3.61372079e-01  1.14302718e+00  1.14302718e+00  2.59375107e-06  1.23097976e-10  2.37694432e-01  2.37677583e-01  1.31756979e-06  1.23468824e-06 
 1.00000000e+00  1.35917916e-06  1.23455698e-06  3.61373132e-01  1.14302625e+00  1.49780190e-07  2.59375108e-06  1.81387350e-10  2.37698276e-01  2.37673475e-01  1.33710389e-06  1.21514205e-06 
 0.00000000e+00  1.37939009e-06  1.21434609e-06  3.61372946e-01  1.14302718e+00  1.14302718e+00  2.59375111e-06  1.23093036e-10  2.37702117e-01  2.37669265e-01  1.35687494e-06  1.19535394e-06 
 1.00000000e+00  1.39919842e-06  1.19453767e-06  3.61374268e-01  1.14302625e+00  1.49780190e-07  2.59375103e-06  1.81395630e-10  2.37705835e-01  2.37665077e-01  1.37624984e-06  1.17595756e-06 
 0.00000000e+00  1.41934721e-06  1.17438878e-06  3.61375053e-01  1.14302624e+00  1.14302624e+00  2.59375095e-06  1.81390520e-10  2.37709579e-01  2.37660763e-01  1.39595552e-06  1.15622531e-06 
 1.00000000e+00  1.43927457e-06  1.15446143e-06  3.61376670e-01  1.14302531e+00  1.49776412e-07  2.59375092e-06  2.39657655e-10  2.37713237e-01  2.37656440e-01  1.41544245e-06  1.13670759e-06 
 0.00000000e+00  1.45981775e-06  1.13391827e-06  3.61376357e-01  1.14302718e+00  1.14302718e+00  2.59375096e-06  1.23087019e-10  2.37716957e-01  2.37651912e-01  1.43552931e-06  1.11658415e-06 
 1.00000000e+00  1.47933828e-06  1.11439761e-06  3.61378245e-01  1.14302624e+00  1.49780186e-07  2.59375082e-06  1.81405113e-10  2.37720455e-01  2.37647554e-01  1.45461402e-06  1.09745982e-06 
 0.00000000e+00  1.49947212e-06  1.09426384e-06  3.61379606e-01  1.14302625e+00  1.14302624e+00  2.59375087e-06  1.81390902e-10  2.37724026e-01  2.37642996e-01  1.47429614e-06  1.07773240e-06 
 1.00000000e+00  1.51922050e-06  1.07451527e-06  3.61381772e-01  1.14302531e+00  1.49776412e-07  2.59375071e-06  2.39627346e-10  2.37727484e-01  2.37638453e-01  1.49359936e-06  1.05837986e-06 
 0.00000000e+00  1.53981261e-06  1.05392320e-06  3.61382738e-01  1.14302625e+00  1.14302624e+00  2.59375075e-06  1.81394455e-10  2.37731060e-01  2.37633648e-01  1.51372496e-06  1.03819804e-06 
 1.00000000e+00  1.55929169e-06  1.03444395e-06  3.61385192e-01  1.14302531e+00  1.49776411e-07  2.59375057e-06  2.39648159e-10  2.37734396e-01  2.37629036e-01  1.53276070e-06  1.01910435e-06 
