 i-sweep         i(Vin)          i(Vout)         i(Vbias)        i(v1)           i(v2)           i(vout1)        v(vbp)          v(vcn)         
 9.30000000e-08  9.30000000e-08  9.50797521e-08  1.00819191e-06  9.94845983e-07  1.08992477e-06  9.68275898e-08  6.96033805e-01  7.27560310e-01 
 9.40000000e-08  9.40000000e-08  9.60236175e-08  1.00819192e-06  9.94857002e-07  1.09087966e-06  9.77855410e-08  6.96033805e-01  7.27560311e-01 
 9.50000000e-08  9.50000000e-08  9.69675007e-08  1.00819192e-06  9.94867905e-07  1.09183445e-06  9.87434729e-08  6.96033805e-01  7.27560313e-01 
 9.60000000e-08  9.60000000e-08  9.79114034e-08  1.00819192e-06  9.94878699e-07  1.09278914e-06  9.97013883e-08  6.96033805e-01  7.27560311e-01 
 9.70000000e-08  9.70000000e-08  9.88553044e-08  1.00819191e-06  9.94889374e-07  1.09374372e-06  1.00659271e-07  6.96033805e-01  7.27560312e-01 
 9.80000000e-08  9.80000000e-08  9.97992107e-08  1.00819191e-06  9.94899960e-07  1.09469821e-06  1.01617129e-07  6.96033805e-01  7.27560310e-01 
 9.90000000e-08  9.90000000e-08  1.00743131e-07  1.00819192e-06  9.94910442e-07  1.09565261e-06  1.02574962e-07  6.96033805e-01  7.27560312e-01 
 1.00000000e-07  1.00000000e-07  1.01687052e-07  1.00819192e-06  9.94920811e-07  1.09660690e-06  1.03532769e-07  6.96033805e-01  7.27560314e-01 
 1.01000000e-07  1.01000000e-07  1.02630951e-07  1.00819190e-06  9.94931074e-07  1.09756107e-06  1.04490517e-07  6.96033806e-01  7.27560309e-01 
 1.02000000e-07  1.02000000e-07  1.03574870e-07  1.00819193e-06  9.94941271e-07  1.09851519e-06  1.05448257e-07  6.96033804e-01  7.27560311e-01 
 1.03000000e-07  1.03000000e-07  1.04518774e-07  1.00819191e-06  9.94951341e-07  1.09946916e-06  1.06405954e-07  6.96033805e-01  7.27560313e-01 
 1.04000000e-07  1.04000000e-07  1.05462655e-07  1.00819192e-06  9.94961336e-07  1.10042305e-06  1.07363591e-07  6.96033805e-01  7.27560311e-01 
 1.05000000e-07  1.05000000e-07  1.06406555e-07  1.00819190e-06  9.94971213e-07  1.10137681e-06  1.08321213e-07  6.96033806e-01  7.27560311e-01 
 1.06000000e-07  1.06000000e-07  1.07350424e-07  1.00819192e-06  9.94981036e-07  1.10233051e-06  1.09278777e-07  6.96033805e-01  7.27560313e-01 
 1.07000000e-07  1.07000000e-07  1.08294287e-07  1.00819191e-06  9.94990746e-07  1.10328408e-06  1.10236306e-07  6.96033805e-01  7.27560310e-01 
 1.08000000e-07  1.08000000e-07  1.09238124e-07  1.00819192e-06  9.95000377e-07  1.10423755e-06  1.11193775e-07  6.96033805e-01  7.27560311e-01 
 1.09000000e-07  1.09000000e-07  1.10181954e-07  1.00819192e-06  9.95009922e-07  1.10519092e-06  1.12151212e-07  6.96033805e-01  7.27560312e-01 
 1.10000000e-07  1.10000000e-07  1.11125749e-07  1.00819192e-06  9.95019382e-07  1.10614418e-06  1.13108583e-07  6.96033804e-01  7.27560312e-01 
 1.11000000e-07  1.11000000e-07  1.12069525e-07  1.00819193e-06  9.95028760e-07  1.10709734e-06  1.14065901e-07  6.96033804e-01  7.27560311e-01 
 1.12000000e-07  1.12000000e-07  1.13013293e-07  1.00819190e-06  9.95038022e-07  1.10805036e-06  1.15023188e-07  6.96033806e-01  7.27560313e-01 
 1.13000000e-07  1.13000000e-07  1.13957016e-07  1.00819193e-06  9.95047266e-07  1.10900333e-06  1.15980397e-07  6.96033804e-01  7.27560311e-01 
 1.14000000e-07  1.14000000e-07  1.14900731e-07  1.00819192e-06  9.95056388e-07  1.10995616e-06  1.16937568e-07  6.96033805e-01  7.27560311e-01 
