 v-sweep         i(VloutI)       i(VldumpI)      v(Vin)          v(Vgate)        v(d0)           i(vini)         i(vgatei)       v(vloutv)       v(vldumpv)      i(vout)         i(vdump)       
 5.53000000e-01  6.37589725e-12  6.36100109e-12  5.26113398e-02  5.18062298e-01  3.95460084e-10  1.60105262e-11  3.27428883e-12  5.25758001e-02  5.25278736e-02  2.71036527e-11  2.70770073e-11 
 5.54000000e-01  6.59606953e-12  6.57000491e-12  5.35334839e-02  5.19487118e-01  3.96270183e-10  1.64985803e-11  3.28919184e-12  5.34970643e-02  5.34479313e-02  2.72031286e-11  2.71498379e-11 
 5.55000000e-01  6.81116291e-12  6.79866301e-12  5.44394339e-02  5.20890183e-01  3.97080771e-10  1.70057302e-11  3.31784773e-12  5.44021024e-02  5.43516104e-02  2.72812883e-11  2.72866174e-11 
 5.56000000e-01  7.05001778e-12  7.02735074e-12  5.54259274e-02  5.22294795e-01  3.97891861e-10  1.75284232e-11  3.32275527e-12  5.53875761e-02  5.53356769e-02  2.73701062e-11  2.73612244e-11 
 5.57000000e-01  7.29280507e-12  7.27181996e-12  5.64038438e-02  5.23677818e-01  3.98703535e-10  1.80673254e-11  3.33599467e-12  5.63644309e-02  5.63109998e-02  2.75317547e-11  2.75282019e-11 
 5.58000000e-01  7.53674715e-12  7.51782838e-12  5.73567698e-02  5.25003306e-01  3.99515633e-10  1.86153315e-11  3.36491078e-12  5.73162629e-02  5.72612622e-02  2.76472178e-11  2.75708345e-11 
 5.59000000e-01  7.78962837e-12  7.77334477e-12  5.83488277e-02  5.26395731e-01  4.00328379e-10  1.91850980e-11  3.36096428e-12  5.83072035e-02  5.82506021e-02  2.77537993e-11  2.77360357e-11 
 5.60000000e-01  8.04821301e-12  8.03499995e-12  5.93027990e-02  5.27671299e-01  4.01141563e-10  1.97695194e-11  3.40710966e-12  5.92599641e-02  5.92016426e-02  2.78692625e-11  2.78763679e-11 
 5.61000000e-01  8.32301768e-12  8.30353885e-12  6.03263582e-02  5.28993733e-01  4.01955265e-10  2.03708161e-11  3.41229649e-12  6.02822414e-02  6.02221076e-02  2.80433454e-11  2.80397927e-11 
 5.62000000e-01  8.60387060e-12  8.59238259e-12  6.13386501e-02  5.30263693e-01  4.02769539e-10  2.09898765e-11  3.44083442e-12  6.12931725e-02  6.12310684e-02  2.82103230e-11  2.81854540e-11 
 5.63000000e-01  8.89493255e-12  8.87312833e-12  6.23362128e-02  5.31551905e-01  4.03584315e-10  2.16302531e-11  3.45837768e-12  6.22893681e-02  6.22253504e-02  2.83915114e-11  2.83435497e-11 
 5.64000000e-01  9.19119019e-12  9.17445951e-12  6.33410138e-02  5.32862146e-01  4.04399601e-10  2.22879493e-11  3.46185233e-12  6.32927798e-02  6.32267508e-02  2.85176327e-11  2.85034218e-11 
 5.65000000e-01  9.49911687e-12  9.48203501e-12  6.43678452e-02  5.34140201e-01  4.05215479e-10  2.29642971e-11  3.47424173e-12  6.43181190e-02  6.42499652e-02  2.86899393e-11  2.86881630e-11 
